Web Search interest: keynesian+economics
Worldwide 2004 - present

Interest over time
Week,keynesian+economics
2005-07-10 - 2005-07-16,59
2005-07-17 - 2005-07-23,57
2005-07-24 - 2005-07-30,55
2005-07-31 - 2005-08-06,56
2005-08-07 - 2005-08-13,55
2005-08-14 - 2005-08-20,58
2005-08-21 - 2005-08-27,60
2005-08-28 - 2005-09-03,64
2005-09-04 - 2005-09-10,67
2005-09-11 - 2005-09-17,77
2005-09-18 - 2005-09-24,75
2005-09-25 - 2005-10-01,73
2005-10-02 - 2005-10-08,80
2005-10-09 - 2005-10-15,84
2005-10-16 - 2005-10-22,74
2005-10-23 - 2005-10-29,75
2005-10-30 - 2005-11-05,72
2005-11-06 - 2005-11-12,71
2005-11-13 - 2005-11-19,73
2005-11-20 - 2005-11-26,64
2005-11-27 - 2005-12-03,71
2005-12-04 - 2005-12-10,74
2005-12-11 - 2005-12-17,65
2005-12-18 - 2005-12-24,53
2005-12-25 - 2005-12-31,42
2006-01-01 - 2006-01-07,53
2006-01-08 - 2006-01-14,65
2006-01-15 - 2006-01-21,67
2006-01-22 - 2006-01-28,66
2006-01-29 - 2006-02-04,70
2006-02-05 - 2006-02-11,64
2006-02-12 - 2006-02-18,67
2006-02-19 - 2006-02-25,65
2006-02-26 - 2006-03-04,67
2006-03-05 - 2006-03-11,62
2006-03-12 - 2006-03-18,62
2006-03-19 - 2006-03-25,63
2006-03-26 - 2006-04-01,61
2006-04-02 - 2006-04-08,61
2006-04-09 - 2006-04-15,62
2006-04-16 - 2006-04-22,63
2006-04-23 - 2006-04-29,66
2006-04-30 - 2006-05-06,64
2006-05-07 - 2006-05-13,63
2006-05-14 - 2006-05-20,59
2006-05-21 - 2006-05-27,57
2006-05-28 - 2006-06-03,54
2006-06-04 - 2006-06-10,56
2006-06-11 - 2006-06-17,51
2006-06-18 - 2006-06-24,50
2006-06-25 - 2006-07-01,44
2006-07-02 - 2006-07-08,42
2006-07-09 - 2006-07-15,49
2006-07-16 - 2006-07-22,45
2006-07-23 - 2006-07-29,44
2006-07-30 - 2006-08-05,44
2006-08-06 - 2006-08-12,42
2006-08-13 - 2006-08-19,47
2006-08-20 - 2006-08-26,48
2006-08-27 - 2006-09-02,49
2006-09-03 - 2006-09-09,55
2006-09-10 - 2006-09-16,56
2006-09-17 - 2006-09-23,56
2006-09-24 - 2006-09-30,58
2006-10-01 - 2006-10-07,61
2006-10-08 - 2006-10-14,65
2006-10-15 - 2006-10-21,59
2006-10-22 - 2006-10-28,56
2006-10-29 - 2006-11-04,60
2006-11-05 - 2006-11-11,58
2006-11-12 - 2006-11-18,61
2006-11-19 - 2006-11-25,53
2006-11-26 - 2006-12-02,57
2006-12-03 - 2006-12-09,59
2006-12-10 - 2006-12-16,58
2006-12-17 - 2006-12-23,44
2006-12-24 - 2006-12-30,32
2006-12-31 - 2007-01-06,43
2007-01-07 - 2007-01-13,54
2007-01-14 - 2007-01-20,55
2007-01-21 - 2007-01-27,55
2007-01-28 - 2007-02-03,54
2007-02-04 - 2007-02-10,54
2007-02-11 - 2007-02-17,52
2007-02-18 - 2007-02-24,52
2007-02-25 - 2007-03-03,54
2007-03-04 - 2007-03-10,51
2007-03-11 - 2007-03-17,52
2007-03-18 - 2007-03-24,52
2007-03-25 - 2007-03-31,51
2007-04-01 - 2007-04-07,47
2007-04-08 - 2007-04-14,50
2007-04-15 - 2007-04-21,50
2007-04-22 - 2007-04-28,52
2007-04-29 - 2007-05-05,52
2007-05-06 - 2007-05-12,51
2007-05-13 - 2007-05-19,50
2007-05-20 - 2007-05-26,47
2007-05-27 - 2007-06-02,44
2007-06-03 - 2007-06-09,48
2007-06-10 - 2007-06-16,45
2007-06-17 - 2007-06-23,45
2007-06-24 - 2007-06-30,40
2007-07-01 - 2007-07-07,39
2007-07-08 - 2007-07-14,42
2007-07-15 - 2007-07-21,42
2007-07-22 - 2007-07-28,40
2007-07-29 - 2007-08-04,36
2007-08-05 - 2007-08-11,40
2007-08-12 - 2007-08-18,42
2007-08-19 - 2007-08-25,45
2007-08-26 - 2007-09-01,46
2007-09-02 - 2007-09-08,49
2007-09-09 - 2007-09-15,54
2007-09-16 - 2007-09-22,54
2007-09-23 - 2007-09-29,54
2007-09-30 - 2007-10-06,55
2007-10-07 - 2007-10-13,57
2007-10-14 - 2007-10-20,59
2007-10-21 - 2007-10-27,53
2007-10-28 - 2007-11-03,54
2007-11-04 - 2007-11-10,54
2007-11-11 - 2007-11-17,55
2007-11-18 - 2007-11-24,48
2007-11-25 - 2007-12-01,54
2007-12-02 - 2007-12-08,55
2007-12-09 - 2007-12-15,51
2007-12-16 - 2007-12-22,43
2007-12-23 - 2007-12-29,31
2007-12-30 - 2008-01-05,39
2008-01-06 - 2008-01-12,50
2008-01-13 - 2008-01-19,54
2008-01-20 - 2008-01-26,52
2008-01-27 - 2008-02-02,53
2008-02-03 - 2008-02-09,52
2008-02-10 - 2008-02-16,50
2008-02-17 - 2008-02-23,50
2008-02-24 - 2008-03-01,52
2008-03-02 - 2008-03-08,50
2008-03-09 - 2008-03-15,50
2008-03-16 - 2008-03-22,46
2008-03-23 - 2008-03-29,47
2008-03-30 - 2008-04-05,49
2008-04-06 - 2008-04-12,49
2008-04-13 - 2008-04-19,50
2008-04-20 - 2008-04-26,51
2008-04-27 - 2008-05-03,50
2008-05-04 - 2008-05-10,48
2008-05-11 - 2008-05-17,46
2008-05-18 - 2008-05-24,43
2008-05-25 - 2008-05-31,41
2008-06-01 - 2008-06-07,42
2008-06-08 - 2008-06-14,43
2008-06-15 - 2008-06-21,43
2008-06-22 - 2008-06-28,39
2008-06-29 - 2008-07-05,37
2008-07-06 - 2008-07-12,38
2008-07-13 - 2008-07-19,37
2008-07-20 - 2008-07-26,37
2008-07-27 - 2008-08-02,37
2008-08-03 - 2008-08-09,36
2008-08-10 - 2008-08-16,37
2008-08-17 - 2008-08-23,39
2008-08-24 - 2008-08-30,45
2008-08-31 - 2008-09-06,47
2008-09-07 - 2008-09-13,50
2008-09-14 - 2008-09-20,56
2008-09-21 - 2008-09-27,55
2008-09-28 - 2008-10-04,55
2008-10-05 - 2008-10-11,60
2008-10-12 - 2008-10-18,61
2008-10-19 - 2008-10-25,56
2008-10-26 - 2008-11-01,53
2008-11-02 - 2008-11-08,53
2008-11-09 - 2008-11-15,57
2008-11-16 - 2008-11-22,55
2008-11-23 - 2008-11-29,49
2008-11-30 - 2008-12-06,52
2008-12-07 - 2008-12-13,51
2008-12-14 - 2008-12-20,46
2008-12-21 - 2008-12-27,32
2008-12-28 - 2009-01-03,33
2009-01-04 - 2009-01-10,47
2009-01-11 - 2009-01-17,52
2009-01-18 - 2009-01-24,50
2009-01-25 - 2009-01-31,53
2009-02-01 - 2009-02-07,51
2009-02-08 - 2009-02-14,53
2009-02-15 - 2009-02-21,51
2009-02-22 - 2009-02-28,52
2009-03-01 - 2009-03-07,52
2009-03-08 - 2009-03-14,48
2009-03-15 - 2009-03-21,48
2009-03-22 - 2009-03-28,48
2009-03-29 - 2009-04-04,50
2009-04-05 - 2009-04-11,46
2009-04-12 - 2009-04-18,46
2009-04-19 - 2009-04-25,48
2009-04-26 - 2009-05-02,48
2009-05-03 - 2009-05-09,47
2009-05-10 - 2009-05-16,45
2009-05-17 - 2009-05-23,43
2009-05-24 - 2009-05-30,40
2009-05-31 - 2009-06-06,43
2009-06-07 - 2009-06-13,41
2009-06-14 - 2009-06-20,40
2009-06-21 - 2009-06-27,37
2009-06-28 - 2009-07-04,34
2009-07-05 - 2009-07-11,38
2009-07-12 - 2009-07-18,36
2009-07-19 - 2009-07-25,36
2009-07-26 - 2009-08-01,35
2009-08-02 - 2009-08-08,36
2009-08-09 - 2009-08-15,36
2009-08-16 - 2009-08-22,40
2009-08-23 - 2009-08-29,43
2009-08-30 - 2009-09-05,45
2009-09-06 - 2009-09-12,48
2009-09-13 - 2009-09-19,50
2009-09-20 - 2009-09-26,47
2009-09-27 - 2009-10-03,47
2009-10-04 - 2009-10-10,52
2009-10-11 - 2009-10-17,55
2009-10-18 - 2009-10-24,48
2009-10-25 - 2009-10-31,48
2009-11-01 - 2009-11-07,49
2009-11-08 - 2009-11-14,47
2009-11-15 - 2009-11-21,49
2009-11-22 - 2009-11-28,42
2009-11-29 - 2009-12-05,47
2009-12-06 - 2009-12-12,48
2009-12-13 - 2009-12-19,45
2009-12-20 - 2009-12-26,30
2009-12-27 - 2010-01-02,30
2010-01-03 - 2010-01-09,41
2010-01-10 - 2010-01-16,46
2010-01-17 - 2010-01-23,46
2010-01-24 - 2010-01-30,47
2010-01-31 - 2010-02-06,48
2010-02-07 - 2010-02-13,44
2010-02-14 - 2010-02-20,44
2010-02-21 - 2010-02-27,46
2010-02-28 - 2010-03-06,46
2010-03-07 - 2010-03-13,45
2010-03-14 - 2010-03-20,43
2010-03-21 - 2010-03-27,44
2010-03-28 - 2010-04-03,41
2010-04-04 - 2010-04-10,42
2010-04-11 - 2010-04-17,45
2010-04-18 - 2010-04-24,44
2010-04-25 - 2010-05-01,45
2010-05-02 - 2010-05-08,45
2010-05-09 - 2010-05-15,44
2010-05-16 - 2010-05-22,41
2010-05-23 - 2010-05-29,41
2010-05-30 - 2010-06-05,39
2010-06-06 - 2010-06-12,39
2010-06-13 - 2010-06-19,41
2010-06-20 - 2010-06-26,40
2010-06-27 - 2010-07-03,36
2010-07-04 - 2010-07-10,35
2010-07-11 - 2010-07-17,35
2010-07-18 - 2010-07-24,34
2010-07-25 - 2010-07-31,32
2010-08-01 - 2010-08-07,35
2010-08-08 - 2010-08-14,35
2010-08-15 - 2010-08-21,37
2010-08-22 - 2010-08-28,40
2010-08-29 - 2010-09-04,40
2010-09-05 - 2010-09-11,43
2010-09-12 - 2010-09-18,46
2010-09-19 - 2010-09-25,46
2010-09-26 - 2010-10-02,46
2010-10-03 - 2010-10-09,49
2010-10-10 - 2010-10-16,51
2010-10-17 - 2010-10-23,47
2010-10-24 - 2010-10-30,45
2010-10-31 - 2010-11-06,51
2010-11-07 - 2010-11-13,47
2010-11-14 - 2010-11-20,46
2010-11-21 - 2010-11-27,42
2010-11-28 - 2010-12-04,44
2010-12-05 - 2010-12-11,47
2010-12-12 - 2010-12-18,42
2010-12-19 - 2010-12-25,30
2010-12-26 - 2011-01-01,28
2011-01-02 - 2011-01-08,39
2011-01-09 - 2011-01-15,43
2011-01-16 - 2011-01-22,44
2011-01-23 - 2011-01-29,44
2011-01-30 - 2011-02-05,42
2011-02-06 - 2011-02-12,44
2011-02-13 - 2011-02-19,44
2011-02-20 - 2011-02-26,42
2011-02-27 - 2011-03-05,45
2011-03-06 - 2011-03-12,44
2011-03-13 - 2011-03-19,40
2011-03-20 - 2011-03-26,42
2011-03-27 - 2011-04-02,42
2011-04-03 - 2011-04-09,41
2011-04-10 - 2011-04-16,43
2011-04-17 - 2011-04-23,40
2011-04-24 - 2011-04-30,41
2011-05-01 - 2011-05-07,42
2011-05-08 - 2011-05-14,43
2011-05-15 - 2011-05-21,41
2011-05-22 - 2011-05-28,39
2011-05-29 - 2011-06-04,37
2011-06-05 - 2011-06-11,40
2011-06-12 - 2011-06-18,42
2011-06-19 - 2011-06-25,38
2011-06-26 - 2011-07-02,35
2011-07-03 - 2011-07-09,34
2011-07-10 - 2011-07-16,35
2011-07-17 - 2011-07-23,36
2011-07-24 - 2011-07-30,34
2011-07-31 - 2011-08-06,36
2011-08-07 - 2011-08-13,38
2011-08-14 - 2011-08-20,38
2011-08-21 - 2011-08-27,40
2011-08-28 - 2011-09-03,40
2011-09-04 - 2011-09-10,45
2011-09-11 - 2011-09-17,48
2011-09-18 - 2011-09-24,47
2011-09-25 - 2011-10-01,48
2011-10-02 - 2011-10-08,49
2011-10-09 - 2011-10-15,52
2011-10-16 - 2011-10-22,46
2011-10-23 - 2011-10-29,43
2011-10-30 - 2011-11-05,46
2011-11-06 - 2011-11-12,46
2011-11-13 - 2011-11-19,49
2011-11-20 - 2011-11-26,43
2011-11-27 - 2011-12-03,47
2011-12-04 - 2011-12-10,47
2011-12-11 - 2011-12-17,44
2011-12-18 - 2011-12-24,32
2011-12-25 - 2011-12-31,27
2012-01-01 - 2012-01-07,38
2012-01-08 - 2012-01-14,45
2012-01-15 - 2012-01-21,43
2012-01-22 - 2012-01-28,45
2012-01-29 - 2012-02-04,45
2012-02-05 - 2012-02-11,44
2012-02-12 - 2012-02-18,44
2012-02-19 - 2012-02-25,44
2012-02-26 - 2012-03-03,45
2012-03-04 - 2012-03-10,44
2012-03-11 - 2012-03-17,42
2012-03-18 - 2012-03-24,43
2012-03-25 - 2012-03-31,42
2012-04-01 - 2012-04-07,39
2012-04-08 - 2012-04-14,40
2012-04-15 - 2012-04-21,43
2012-04-22 - 2012-04-28,46
2012-04-29 - 2012-05-05,45
2012-05-06 - 2012-05-12,43
2012-05-13 - 2012-05-19,43
2012-05-20 - 2012-05-26,40
2012-05-27 - 2012-06-02,36
2012-06-03 - 2012-06-09,39
2012-06-10 - 2012-06-16,39
2012-06-17 - 2012-06-23,39
2012-06-24 - 2012-06-30,35
2012-07-01 - 2012-07-07,33
2012-07-08 - 2012-07-14,34
2012-07-15 - 2012-07-21,33
2012-07-22 - 2012-07-28,33
2012-07-29 - 2012-08-04,32
2012-08-05 - 2012-08-11,31
2012-08-12 - 2012-08-18,35
2012-08-19 - 2012-08-25,38
2012-08-26 - 2012-09-01,42
2012-09-02 - 2012-09-08,46
2012-09-09 - 2012-09-15,49
2012-09-16 - 2012-09-22,48
2012-09-23 - 2012-09-29,48
2012-09-30 - 2012-10-06,48
2012-10-07 - 2012-10-13,47
2012-10-14 - 2012-10-20,49
2012-10-21 - 2012-10-27,43
2012-10-28 - 2012-11-03,40
2012-11-04 - 2012-11-10,44
2012-11-11 - 2012-11-17,45
2012-11-18 - 2012-11-24,40
2012-11-25 - 2012-12-01,43
2012-12-02 - 2012-12-08,44
2012-12-09 - 2012-12-15,44
2012-12-16 - 2012-12-22,33
2012-12-23 - 2012-12-29,25
2012-12-30 - 2013-01-05,30
2013-01-06 - 2013-01-12,41
2013-01-13 - 2013-01-19,43
2013-01-20 - 2013-01-26,41
2013-01-27 - 2013-02-02,43
2013-02-03 - 2013-02-09,42
2013-02-10 - 2013-02-16,41
2013-02-17 - 2013-02-23,42
2013-02-24 - 2013-03-02,44
2013-03-03 - 2013-03-09,44
2013-03-10 - 2013-03-16,41
2013-03-17 - 2013-03-23,42
2013-03-24 - 2013-03-30,37
2013-03-31 - 2013-04-06,39
2013-04-07 - 2013-04-13,42
2013-04-14 - 2013-04-20,44
2013-04-21 - 2013-04-27,44
2013-04-28 - 2013-05-04,44
2013-05-05 - 2013-05-11,42
2013-05-12 - 2013-05-18,43
2013-05-19 - 2013-05-25,36
2013-05-26 - 2013-06-01,35
2013-06-02 - 2013-06-08,38
2013-06-09 - 2013-06-15,36
2013-06-16 - 2013-06-22,36
2013-06-23 - 2013-06-29,32
2013-06-30 - 2013-07-06,31
2013-07-07 - 2013-07-13,31
2013-07-14 - 2013-07-20,31
2013-07-21 - 2013-07-27,31
2013-07-28 - 2013-08-03,30
2013-08-04 - 2013-08-10,29
2013-08-11 - 2013-08-17,32
2013-08-18 - 2013-08-24,35
2013-08-25 - 2013-08-31,38
2013-09-01 - 2013-09-07,42
2013-09-08 - 2013-09-14,45
2013-09-15 - 2013-09-21,45
2013-09-22 - 2013-09-28,45
2013-09-29 - 2013-10-05,44
2013-10-06 - 2013-10-12,45
2013-10-13 - 2013-10-19,46
2013-10-20 - 2013-10-26,43
2013-10-27 - 2013-11-02,41
2013-11-03 - 2013-11-09,42
2013-11-10 - 2013-11-16,44
2013-11-17 - 2013-11-23,44
2013-11-24 - 2013-11-30,37
2013-12-01 - 2013-12-07,42
2013-12-08 - 2013-12-14,42
2013-12-15 - 2013-12-21,36
2013-12-22 - 2013-12-28,23
2013-12-29 - 2014-01-04,27
2014-01-05 - 2014-01-11,40
2014-01-12 - 2014-01-18,43
2014-01-19 - 2014-01-25,40
2014-01-26 - 2014-02-01,42
2014-02-02 - 2014-02-08,42
2014-02-09 - 2014-02-15,41
2014-02-16 - 2014-02-22,41
2014-02-23 - 2014-03-01,44
2014-03-02 - 2014-03-08,44
2014-03-09 - 2014-03-15,41
2014-03-16 - 2014-03-22,41
2014-03-23 - 2014-03-29,42
2014-03-30 - 2014-04-05,40
2014-04-06 - 2014-04-12,42
2014-04-13 - 2014-04-19,39
2014-04-20 - 2014-04-26,41
2014-04-27 - 2014-05-03,42
2014-05-04 - 2014-05-10,44
2014-05-11 - 2014-05-17,42
2014-05-18 - 2014-05-24,41
2014-05-25 - 2014-05-31,36
2014-06-01 - 2014-06-07,40
2014-06-08 - 2014-06-14,37
2014-06-15 - 2014-06-21,36
2014-06-22 - 2014-06-28,32
2014-06-29 - 2014-07-05,30
2014-07-06 - 2014-07-12,31
2014-07-13 - 2014-07-19,30
2014-07-20 - 2014-07-26,30
2014-07-27 - 2014-08-02,30
2014-08-03 - 2014-08-09,32
2014-08-10 - 2014-08-16,33
2014-08-17 - 2014-08-23,36
2014-08-24 - 2014-08-30,39
2014-08-31 - 2014-09-06,43
2014-09-07 - 2014-09-13,45
2014-09-14 - 2014-09-20,45
2014-09-21 - 2014-09-27,45
2014-09-28 - 2014-10-04,44
2014-10-05 - 2014-10-11,44
2014-10-12 - 2014-10-18,46
2014-10-19 - 2014-10-25,42
2014-10-26 - 2014-11-01,43
2014-11-02 - 2014-11-08,45
2014-11-09 - 2014-11-15,46
2014-11-16 - 2014-11-22,45
2014-11-23 - 2014-11-29,38
2014-11-30 - 2014-12-06,43
2014-12-07 - 2014-12-13,45
2014-12-14 - 2014-12-20,38
2014-12-21 - 2014-12-27,23
2014-12-28 - 2015-01-03,25
2015-01-04 - 2015-01-10,38
2015-01-11 - 2015-01-17,44
2015-01-18 - 2015-01-24,43
2015-01-25 - 2015-01-31,44
2015-02-01 - 2015-02-07,43
2015-02-08 - 2015-02-14,42
2015-02-15 - 2015-02-21,41
2015-02-22 - 2015-02-28,43
2015-03-01 - 2015-03-07,44
2015-03-08 - 2015-03-14,44
2015-03-15 - 2015-03-21,44
2015-03-22 - 2015-03-28,41
2015-03-29 - 2015-04-04,37
2015-04-05 - 2015-04-11,38
2015-04-12 - 2015-04-18,41
2015-04-19 - 2015-04-25,45
2015-04-26 - 2015-05-02,44
2015-05-03 - 2015-05-09,45
2015-05-10 - 2015-05-16,43
2015-05-17 - 2015-05-23,39
2015-05-24 - 2015-05-30,37
2015-05-31 - 2015-06-06,38
2015-06-07 - 2015-06-13,38
2015-06-14 - 2015-06-20,36
2015-06-21 - 2015-06-27,34
2015-06-28 - 2015-07-04,32
2015-07-05 - 2015-07-11,32
2015-07-12 - 2015-07-18,31
2015-07-19 - 2015-07-25,30
2015-07-26 - 2015-08-01,31
2015-08-02 - 2015-08-08,31
2015-08-09 - 2015-08-15,34
2015-08-16 - 2015-08-22,37
2015-08-23 - 2015-08-29,39
2015-08-30 - 2015-09-05,44
2015-09-06 - 2015-09-12,45
2015-09-13 - 2015-09-19,46
2015-09-20 - 2015-09-26,44
2015-09-27 - 2015-10-03,45
2015-10-04 - 2015-10-10,47
2015-10-11 - 2015-10-17,46
2015-10-18 - 2015-10-24,42
2015-10-25 - 2015-10-31,42
2015-11-01 - 2015-11-07,44
2015-11-08 - 2015-11-14,42
2015-11-15 - 2015-11-21,44
2015-11-22 - 2015-11-28,37
2015-11-29 - 2015-12-05,42
2015-12-06 - 2015-12-12,44
2015-12-13 - 2015-12-19,40
2015-12-20 - 2015-12-26,24
2015-12-27 - 2016-01-02,24
2016-01-03 - 2016-01-09,39
2016-01-10 - 2016-01-16,43
2016-01-17 - 2016-01-23,44
2016-01-24 - 2016-01-30,44
2016-01-31 - 2016-02-06,44
2016-02-07 - 2016-02-13,42
2016-02-14 - 2016-02-20,41
2016-02-21 - 2016-02-27,43
2016-02-28 - 2016-03-05,45
2016-03-06 - 2016-03-12,43
2016-03-13 - 2016-03-19,42
2016-03-20 - 2016-03-26,38
2016-03-27 - 2016-04-02,39
2016-04-03 - 2016-04-09,41
2016-04-10 - 2016-04-16,43
2016-04-17 - 2016-04-23,44
2016-04-24 - 2016-04-30,43
2016-05-01 - 2016-05-07,43
2016-05-08 - 2016-05-14,43
2016-05-15 - 2016-05-21,41
2016-05-22 - 2016-05-28,38
2016-05-29 - 2016-06-04,34
2016-06-05 - 2016-06-11,35
2016-06-12 - 2016-06-18,37
2016-06-19 - 2016-06-25,37
2016-06-26 - 2016-07-02,32


Top regions for keynesian+economics
Region,keynesian+economics
Nigeria,100
Ethiopia,97
Zimbabwe,85
Ghana,84
Mauritius,68
Uganda,63
Kenya,59
Nepal,54
Pakistan,51
Tanzania,49
Jamaica,40
Philippines,39
Bangladesh,39
South Africa,31
India,31
Singapore,30
Sri Lanka,26
Hong Kong,21
United Kingdom,18
Ireland,18
United States,16
Australia,16
New Zealand,15
United Arab Emirates,14
Canada,14
Malaysia,12
South Korea,10
Switzerland,7
Denmark,7
Greece,7
Norway,7
Netherlands,6
Sweden,5
Finland,5
Portugal,4
Belgium,4
Austria,4
Iran,4
Taiwan,4
Germany,4
Egypt,4
Italy,3
Indonesia,3
Thailand,3
Spain,3
Saudi Arabia,3
Vietnam,2
Turkey,2
Colombia,2
France,2
Russia,2
Poland,1
Mexico,1
Japan,1
Brazil,1


Top cities for keynesian+economics
City,keynesian+economics
Lagos (Nigeria),100
Nairobi (Kenya),69
Lahore (Pakistan),61
Karachi (Pakistan),58
Manila (Philippines),52
Dhaka (Bangladesh),51
New Delhi (India),47
Makati City (Philippines),45
Quezon City (Philippines),44
Singapore (Singapore),38
Mumbai (India),36
Washington (United States),34
Howrah (India),34
Bangalore (India),28
Chennai (India),28



Top searches for keynesian+economics
the economics,100
school of economics,50
economic,45
business economics,40
what is economics,40
economics definition,30
london school economics,30
international economics,20
economy,20
definition of economics,15
economics times,15
development economics,15
economics jobs,15
financial economics,15
health economics,10
home economics,10
economics degree,10
social economics,10
managerial economics,10
economics major,10
define economics,10
keynesian economics,10
economics notes,10
macro economics,10
economics news,10
principles of economics,5
capital economics,5
economist,5
micro economics,5
law and economics,5
university of london,5
engineering economics,5
economics time,5
environmental economics,5
applied economics,5
oxford economics,5
macroeconomics,5
agricultural economics,5
harvard economics,5
lse,5
microeconomics,5
nobel economics,5
jobs in economics,5
a level economics,5
basic economics,5
labor economics,5
masters in economics,5
energy economics,5
supply and demand,5
cambridge economics,5



Rising searches for keynesian+economics
define economics,+300%
economics major,+250%
what is economics,+180%
economics definition,+160%
definition of economics,+130%
economics degree,+110%
keynesian economics,+100%
economics times,+80%
economics jobs,+70%
principles of economics,+70%



